#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;92;1058.2065217391305;1165215.00083612;1079.4512498654676;1.0200761644252787;7.0;6596.0
waiting time/customer;92;6692.630434782609;1.937208060917343E7;4401.372582408064;0.6576446473920728;0.0;16591.0
