#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service_time_customer;10000;9000.0;0.0;0.0;0.0;9000.0;9000.0
waiting_time_customer;10000;0.0;0.0;0.0;0.0;0.0;0.0
