#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting time/customer (lag=0);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.7856399583766908;0.9999999999999996
waiting time/customer (lag=1);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.5501612050289143;0.7002714146129623
waiting time/customer (lag=2);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.27349982656954563;0.34812362030905075
waiting time/customer (lag=3);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.1296142789114446;0.16497923448198443
waiting time/customer (lag=4);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.09088951882019448;0.11568851335921441
waiting time/customer (lag=5);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;0.033262135567847795;0.04233763215986983
waiting time/customer (lag=6);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.03333581091125316;-0.042431409649952685
waiting time/customer (lag=7);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.08417368271686691;-0.10714027694160144
waiting time/customer (lag=8);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.044301846070836697;-0.0563895020848663
waiting time/customer (lag=9);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.05526868631339207;-0.07034861926777453
waiting time/customer (lag=10);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.06231489634195148;-0.07931737137035147
waiting time/customer (lag=11);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.0816551386423456;-0.10393455395403192
waiting time/customer (lag=12);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.11854318418314255;-0.150887417218543
waiting time/customer (lag=13);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.17734502750111494;-0.22573320719016082
waiting time/customer (lag=14);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.1969302809573362;-0.2506622516556292
waiting time/customer (lag=15);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.1617552637987912;-0.20588981259687195
waiting time/customer (lag=16);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.07315748993349323;-0.09311834149150594
waiting time/customer (lag=17);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.055890854434038656;-0.071140544518028
waiting time/customer (lag=18);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.037839371866427045;-0.048163756773028324
waiting time/customer (lag=19);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.04220409941194978;-0.05371939011242879
waiting time/customer (lag=20);62;0.6129032258064516;0.7985193019566369;0.8935990722671084;1.4579774336989664;0.0;4.0;-0.07058619493583075;-0.08984547461368654
