#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting time/customer (lag=0);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;2.8297205073635263;0.9999999999999356
waiting time/customer (lag=1);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;2.5358510005059287;0.8961489284566971
waiting time/customer (lag=2);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;2.301428358521836;0.813305890999796
waiting time/customer (lag=3);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;2.092117573771403;0.7393371777626587
waiting time/customer (lag=4);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.906187869253924;0.6736311463600383
waiting time/customer (lag=5);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.739044947245729;0.6145642096879382
waiting time/customer (lag=6);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.5913419165460054;0.5623671710350536
waiting time/customer (lag=7);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.4667336067114056;0.5183316171666292
waiting time/customer (lag=8);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.3473069752543485;0.476127225903861
waiting time/customer (lag=9);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.2540141479691531;0.4431583065203311
waiting time/customer (lag=10);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.161991172074659;0.41063814219490563
waiting time/customer (lag=11);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;1.0656566900815512;0.3765943270045294
waiting time/customer (lag=12);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.9788402283232785;0.3459141020380168
waiting time/customer (lag=13);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.8842324169300934;0.31248047806455737
waiting time/customer (lag=14);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.7929371318066905;0.2802174736845037
waiting time/customer (lag=15);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.7057391978068771;0.24940243955908376
waiting time/customer (lag=16);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.6288413209986156;0.2222273610988075
waiting time/customer (lag=17);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.5577826961464717;0.19711582634926955
waiting time/customer (lag=18);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.48622516414132466;0.17182798190705884
waiting time/customer (lag=19);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.41559773931989785;0.14686882970894072
waiting time/customer (lag=20);6316;1.0647561747941736;2.8301686024559274;1.682310495258211;1.5799959982231762;0.0;13.0;0.3441125826768707;0.12160656212562176
