#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
queue_occupancy_time;10000;0.0;0.0;0.0;0.0;0.0;0.0
server_utilization_time;9999;0.9998999899989999;9.999999899978906E-5;0.009999999949989452;0.01000100015002446;1.0;1.0
