#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,22532253225322532
1,5;0,10951095109510951
2,5;0,09550955095509552
3,5;0,0851085108510851
4,5;0,07260726072607261
5,5;0,0661066106610661
6,5;0,054605460546054606
7,5;0,0463046304630463
8,5;0,043604360436043606
9,5;0,030703070307030702
10,5;0,029802980298029802
11,5;0,0251025102510251
12,5;0,019101910191019103
13,5;0,0168016801680168
14,5;0,0087008700870087
15,5;0,0056005600560056
16,5;0,0037003700370037006
17,5;0,0056005600560056
18,5;0,012601260126012601
19,5;0,006200620062006201
20,5;0,0024002400240024004
21,5;0,0019001900190019003
22,5;0,0028002800280028
23,5;0,003000300030003
24,5;0,0011001100110011
25,5;7,000700070007E-4
26,5;0,002000200020002
27,5;0,005700570057005701
28,5;0,004100410041004101
29,5;0,004800480048004801
30,5;0,0027002700270027003
31,5;0,0014001400140014
32,5;2,0002000200020003E-4
33,5;4,0004000400040005E-4
34,5;8,000800080008001E-4
35,5;4,0004000400040005E-4
36,5;1,0001000100010001E-4
37,5;1,0001000100010001E-4
38,5;0,0021002100210021
39,5;7,000700070007E-4
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
