#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
server utilization/time;1;0.0;0.0;0.0;0.0;1.0;1.0
queue occupancy/time;1;0.0;0.0;0.0;0.0;0.0;0.0
