#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting_time_per_customer (lag=0);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=1);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=2);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=3);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=4);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=5);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=6);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=7);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=8);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=9);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=10);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=11);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=12);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=13);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=14);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=15);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=16);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=17);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=18);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=19);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
waiting_time_per_customer (lag=20);99;1417.6969696969697;2409562.2745825597;1552.276481359735;1.0949282636130142;0.0;6501.0;2009864.6978879708;0.8341202545745228
