#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting time/customer (lag=0);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;2.9503567181926287;1.0000000000000004
waiting time/customer (lag=1);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;2.400520474789829;0.8136373679791422
waiting time/customer (lag=2);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.9157147103788013;0.6493163008276361
waiting time/customer (lag=3);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.4860069181710085;0.5036702541790704
waiting time/customer (lag=4);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.0678425155238471;0.36193674783095436
waiting time/customer (lag=5);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.0678605882484913;0.3619428734375743
waiting time/customer (lag=6);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.8613143693405286;0.2919356713815152
waiting time/customer (lag=7);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.66627614184794;0.22582901170543784
waiting time/customer (lag=8);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.8782639714625443;0.29768060453400497
waiting time/customer (lag=9);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.0626622825111016;0.3601809489538888
waiting time/customer (lag=10);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.1613530519223147;0.39363140218303955
waiting time/customer (lag=11);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;1.056980038960711;0.35825499758829543
waiting time/customer (lag=12);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.5567647210877322;0.1887109845580989
waiting time/customer (lag=13);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.29523715153917285;0.10006828995242092
waiting time/customer (lag=14);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.24909469246567942;0.08442866956720864
waiting time/customer (lag=15);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.22406188645853492;0.07594399859410696
waiting time/customer (lag=16);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.30539040824415375;0.10350965575146936
waiting time/customer (lag=17);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.15309155766944108;0.05188916876574306
waiting time/customer (lag=18);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.06817776456599281;0.023108312342569253
waiting time/customer (lag=19);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.1393868715509619;0.047244074145837374
waiting time/customer (lag=20);58;1.7413793103448276;3.0021173623714454;1.7326619296248895;0.9949939793885504;0.0;6.0;0.049643281807372194;0.016826196473551647
