#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting_time_per_customer (lag=0);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=1);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=2);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=3);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=4);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=5);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=6);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=7);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=8);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=9);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=10);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=11);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=12);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=13);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=14);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=15);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=16);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=17);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=18);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=19);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
waiting_time_per_customer (lag=20);96;2612.34375;5407857.638486843;2325.480087742495;0.890189159731561;0.0;9190.0;6824339.8681640625;1.2619303843348884
