#histogram type: continuous-time histogram
#queue_occupancy_time
#lowerBound ; upperBound ; probability density
0,0;-11,1;-0,0
-11,1;-22,2;-0,0
-22,2;-33,3;-0,0
-33,3;-44,4;-0,0
-44,4;-55,5;-0,0
-55,5;-66,6;-0,0
-66,6;-77,7;-0,0
-77,7;-88,8;-0,0
-88,8;-99,89999999999999;-0,0
-99,89999999999999;-111,0;-0,0900900900900901
