#histogram type: discrete-time histogram
#waiting_time_customer
#lowerBound ; upperBound ; probability density
0,0;20000,0;1,1001100110011E-7
20000,0;40000,0;1,1001100110011E-7
40000,0;60000,0;1,1001100110011E-7
60000,0;80000,0;1,1001100110011E-7
80000,0;100000,0;1,1001100110011E-7
100000,0;120000,0;1,1001100110011E-7
120000,0;140000,0;1,1001100110011E-7
140000,0;160000,0;1,1001100110011E-7
160000,0;180000,0;1,1001100110011E-7
180000,0;200000,0;4,900990099009901E-5
